ModSelect,A_concern_y,B_concern_y,A_concern_o,B_concern_o,lA_ex,lB_ex,l_conc,l_conc_o,l_inf,l_inf_o,l_hea,l_hea_o,stvT,I,H,Prior,cut_mod
1,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,1,1,0.5
2,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,1,2,0.5
3,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,1,3,0.5
4,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,1,4,0.5
5,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,1,5,0.5
6,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,1,6,0.5
7,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0,1,0.5
8,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0,2,0.5
9,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0,3,0.5
10,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0,4,0.5
11,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0,5,0.5
12,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.25,0,0,6,0.5
13,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,1,1,0.5
14,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,1,2,0.5
15,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,1,3,0.5
16,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,1,4,0.5
17,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,1,5,0.5
18,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,1,6,0.5
19,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0,1,0.5
20,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0,2,0.5
21,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0,3,0.5
22,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0,4,0.5
23,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0,5,0.5
24,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.66,0,0,6,0.5
25,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,1,1,0.5
26,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,1,2,0.5
27,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,1,3,0.5
28,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,1,4,0.5
29,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,1,5,0.5
30,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,1,6,0.5
31,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0,1,0.5
32,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0,2,0.5
33,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0,3,0.5
34,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0,4,0.5
35,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0,5,0.5
36,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,0.5,0,0,6,0.5
37,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,1,1,0.5
38,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,1,2,0.5
39,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,1,3,0.5
40,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,1,4,0.5
41,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,1,5,0.5
42,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,1,6,0.5
43,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0,1,0.5
44,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0,2,0.5
45,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0,3,0.5
46,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0,4,0.5
47,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0,5,0.5
48,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,4,0,0,6,0.5
49,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,1,1,0.5
50,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,1,2,0.5
51,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,1,3,0.5
